unnamed: 0,model,colour,memory,ram,battery,rear_camera,front_camera,ai_lens,height,processor,prize,ram_num,memory_num,battery_num,rear_camera_num,front_camera_num,height_num
522,Nokia C01 Plus,Grey,16,2,3000,5MP,2MP,0,13.84,Unisoc SC9863A,5799,2.0,16.0,3000.0,5.0,2.0,13.84
523,POCO M4 Pro,Power Black,128,6,5000,64MP,16MP,0,16.33,Mediatek Helio G96,16499,6.0,128.0,5000.0,64.0,16.0,16.33
526,REDMI 10A SPORT,SLATE GREY,128,6,5000,13MP,5MP,0,16.59,Helio G25,10890,6.0,128.0,5000.0,13.0,5.0,16.59
527,REDMI 10A SPORT,CHARCOAL BLACK,128,6,5000,13MP,5MP,0,16.59,Helio G25,10548,6.0,128.0,5000.0,13.0,5.0,16.59
530,realme GT 2,Steel Black,256,2,5000,50MP,16MP,0,16.81,Qualcomm Snapdragon 888,32299,2.0,256.0,5000.0,50.0,16.0,16.81
531,SAMSUNG Galaxy A54 5G,Awesome Graphite,256,8,5000,50MP,32MP,0,16.26,"Exynos 1380, Octa Core ",40999,8.0,256.0,5000.0,50.0,32.0,16.26
532,Nokia C01 Plus,Blue,32,2,3000,5MP,2MP,0,13.84,Unisoc SC9863A,6299,2.0,32.0,3000.0,5.0,2.0,13.84
533,vivo Y33s,Mirror Black,128,8,5000,50MP,16MP,0,16.71,MediaTek Helio G80,16990,8.0,128.0,5000.0,50.0,16.0,16.71
534,vivo Y56 5G,Orange Shimmer,128,4,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,17999,4.0,128.0,5000.0,50.0,16.0,16.71
535,realme Narzo N55,Prime Black,64,4,5000,64MP,8MP,0,17.07,MediaTek Helio G88,11490,4.0,64.0,5000.0,64.0,8.0,17.07
536,realme Narzo 50A Prime,Flash Black,128,4,5000,50MP,8MP,0,16.76,MediaTek Helio G88,12599,4.0,128.0,5000.0,50.0,8.0,16.76
543,REDMI Note 10S,Frost White,128,6,5000,64MP,13MP,0,16.33,Mediatek Helio G95,16499,6.0,128.0,5000.0,64.0,13.0,16.33
544,realme X3 SuperZoom,Arctic White,256,6,4200,64MP,32MP,0,16.69,Qualcomm Snapdragon 855+,17999,6.0,256.0,4200.0,64.0,32.0,16.69
545,vivo V23 5G,Sunshine Gold,128,8,4200,64MP,16MP,0,16.36,Mediatek Dimensity 920,31989,8.0,128.0,4200.0,64.0,16.0,16.36
546,APPLE iPhone 11,Black,64,8,3110,12MP,12MP,0,15.49,ios,41199,8.0,64.0,3110.0,12.0,12.0,15.49
547,vivo T1 Pro 5G,Turbo Black,128,8,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,24999,8.0,128.0,4700.0,64.0,16.0,16.36
548,vivo T1 Pro 5G,Turbo Cyan,128,6,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,23999,6.0,128.0,4700.0,64.0,16.0,16.36
549,Infinix Smart 5A,Midnight Black,32,2,5000,8MP,8MP,0,16.56,MediaTek Helio A20,7199,2.0,32.0,5000.0,8.0,8.0,16.56
551,SAMSUNG Galaxy F23 5G,Copper Blush,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,15999,4.0,128.0,5000.0,50.0,8.0,16.76
553,POCO C31,Royal Blue,64,4,5000,13MP,5MP,0,16.59,MediaTek G35,8999,4.0,64.0,5000.0,13.0,5.0,16.59
556,POCO C31,Royal Blue,64,4,5000,13MP,5MP,0,16.59,MediaTek G35,8999,4.0,64.0,5000.0,13.0,5.0,16.59
561,MOTOROLA e22s,Eco Black,64,4,5000,16MP,8MP,0,16.51,Mediatek Helio G37,8940,4.0,64.0,5000.0,16.0,8.0,16.51
562,vivo T1 Pro 5G,Turbo Cyan,128,8,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G,24999,8.0,128.0,4700.0,64.0,16.0,16.36
563,Tecno Spark Go 2023,Uyuni Blue,64,4,5000,13MP,5MP,0,16.66,MediaTek Helio A22,8288,4.0,64.0,5000.0,13.0,5.0,16.66
564,POCO C31,Royal Blue,32,3,5000,13MP,5MP,0,16.59,MediaTek Helio G35,8499,3.0,32.0,5000.0,13.0,5.0,16.59
565,Infinix Hot 12 Pro,Halo White,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,9999,6.0,64.0,5000.0,50.0,8.0,16.76
566,SAMSUNG Galaxy A23,Peach,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),17499,6.0,128.0,5000.0,50.0,8.0,16.76
567,REDMI 9i,Midnight Black,64,4,5000,13MP,5MP,0,16.59,MediaTek Helio G25,8999,4.0,64.0,5000.0,13.0,5.0,16.59
568,REDMI Note 9,Scarlet Red,128,6,5020,48MP,13MP,0,16.59,MediaTek Helio G85,14999,6.0,128.0,5020.0,48.0,13.0,16.59
569,MOTOROLA Edge 30 Ultra,Starlight White,256,6,4610,200MP,60MP,0,16.94,Qualcomm Snapdragon 8+ Gen 1,49999,6.0,256.0,4610.0,200.0,60.0,16.94
571,vivo Y565G,Orange Shimmer,128,8,5000,50MP,16MP,0,16.71,MTK Dimensity 700,19979,8.0,128.0,5000.0,50.0,16.0,16.71
573,SAMSUNG M53 5G,Deep Ocean Blue,128,6,5000,108MP,32MP,0,17.02,Mediatek Dimensity 900,23390,6.0,128.0,5000.0,108.0,32.0,17.02
574,REDMI Note 10 Lite,Glacier White,128,6,5020,48MP,16MP,0,16.94,Qualcomm Snapdragon 720G,14385,6.0,128.0,5020.0,48.0,16.0,16.94
576,APPLE iPhone 14 Plus,Midnight,128,6,4323,12MP,12MP,0,17.02,IOS,80999,6.0,128.0,4323.0,12.0,12.0,17.02
577,vivo V25 Pro 5G,Pure Black,256,6,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,30874,6.0,256.0,4830.0,64.0,32.0,16.66
579,Infinix Hot 12 Pro,Lightsaber Green,128,8,5000,108MP,8MP,0,16.76,Unisoc T616,12999,8.0,128.0,5000.0,108.0,8.0,16.76
580,vivo V25 Pro 5G,Sailing Blue,128,8,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,35999,8.0,128.0,4830.0,64.0,32.0,16.66
581,Infinix Hot 11,Emerald Green,64,4,5200,13MP,8MP,0,16.76,MediaTek Helio G70,9999,4.0,64.0,5200.0,13.0,8.0,16.76
582,Infinix Hot 11,Silver Wave,64,4,5200,13MP,8MP,0,16.76,MediaTek Helio G70,9999,4.0,64.0,5200.0,13.0,8.0,16.76
583,Infinix Note 12 Pro,Tuscany Blue,256,8,5000,108MP,16MP,1,17.02,Mediatek Helio G99,16999,8.0,256.0,5000.0,108.0,16.0,17.02
585,Infinix Note 12 Pro,Volcanic Grey,256,8,5000,108MP,16MP,1,17.02,Mediatek Helio G99,16999,8.0,256.0,5000.0,108.0,16.0,17.02
586,vivo T1 Pro 5G,Turbo Black,128,6,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,23999,6.0,128.0,4700.0,64.0,16.0,16.36
587,Tecno Pova 3,Eco Black,128,6,7000,50MP,8MP,0,17.53,MediaTek Helio G88,13999,6.0,128.0,7000.0,50.0,8.0,17.53
588,REDMI 12c,Royal Blue,128,6,5000,50MP,5MP,0,17.04,MediaTek Helio G85,10799,6.0,128.0,5000.0,50.0,5.0,17.04
589,LAVA Z2,Flame Red,32,3,5000,13MP,8MP,0,16.55,MediaTek Helio G35,7999,3.0,32.0,5000.0,13.0,8.0,16.55
590,Infinix Hot 12 Pro,Lightsaber Green,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,9999,6.0,64.0,5000.0,50.0,8.0,16.76
591,Infinix Hot 12 Pro,Racing Black,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,9999,6.0,64.0,5000.0,50.0,8.0,16.76
592,Infinix Hot 12 Pro,Electric Blue,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,9999,6.0,64.0,5000.0,50.0,8.0,16.76
593,realme Narzo 50A,Oxygen Green,128,4,6000,50MP,8MP,0,16.51,MediaTek Helio G85,11762,4.0,128.0,6000.0,50.0,8.0,16.51
595,REDMI Note 11T 5G,Aquamarine Blue,128,6,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,18990,6.0,128.0,5000.0,50.0,16.0,16.76
596,REDMI Note 11T 5G,Matte black,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,18999,8.0,128.0,5000.0,50.0,16.0,16.76
597,Infinix Note 11s Free Fire Edition,Mithril Grey,128,8,5000,50MP,16MP,0,17.65,MediaTek Helio G96,15999,8.0,128.0,5000.0,50.0,16.0,17.65
603,vivo V25 5G,Elegant Black,256,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,29418,8.0,256.0,4500.0,64.0,50.0,16.36
605,vivo V25 Pro 5G,Sailing Blue,256,8,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,33367,8.0,256.0,4830.0,64.0,32.0,16.66
606,MOTOROLA g31,Meteorite Grey,64,4,5000,50MP,13MP,0,16.26,Mediatek Helio G85,11999,4.0,64.0,5000.0,50.0,13.0,16.26
609,SAMSUNG Galaxy A54 5G,Awesome Violet,256,8,5000,50MP,32MP,0,16.26,"Exynos 1380, Octa Core ",40999,8.0,256.0,5000.0,50.0,32.0,16.26
610,realme C11 2021,Cool Grey,32,2,5000,8MP,5MP,0,16.51,Octa-core,7499,2.0,32.0,5000.0,8.0,5.0,16.51
611,vivo Y21T,Pearl White,128,4,5000,50MP,8MP,0,16.71,Qualcomm Snapdragon 680,15499,4.0,128.0,5000.0,50.0,8.0,16.71
612,REDMI K50i 5G,Phantom Blue,256,8,5080,64MP,16MP,0,16.76,Dimensity 8100,29990,8.0,256.0,5080.0,64.0,16.0,16.76
613,Tecno Spark Go 2023,Nebula Purple,32,3,5000,13MP,5MP,0,16.66,MediaTek Helio A22,7280,3.0,32.0,5000.0,13.0,5.0,16.66
614,APPLE iPhone 14 Plus,Purple,128,3,4323,12MP,12MP,0,17.02,6 Core,80999,3.0,128.0,4323.0,12.0,12.0,17.02
615,Tecno Spark Go 2023,UYUNI BLUE,64,4,5000,13MP,5MP,0,16.66,Mediatek Helio A22,8999,4.0,64.0,5000.0,13.0,5.0,16.66
616,IQOO Neo 7 5G,Frost Blue,256,4,5000,64MP,16MP,0,17.22,Dimensity 8200,34688,4.0,256.0,5000.0,64.0,16.0,17.22
619,realme 9 5G,Meteor Black,64,4,5000,48MP,16MP,0,16.51,Mediatek Dimensity 810,13499,4.0,64.0,5000.0,48.0,16.0,16.51
620,realme 9 5G,Supersonic Black,64,4,5000,48MP,16MP,0,16.51,Mediatek Dimensity 810,13499,4.0,64.0,5000.0,48.0,16.0,16.51
621,APPLE iPhone 14 Plus,Starlight,128,4,4323,12MP,12MP,0,17.02,ios,80999,4.0,128.0,4323.0,12.0,12.0,17.02
622,vivo Y100 5G,Metal Black,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,23999,8.0,128.0,4500.0,64.0,16.0,16.21
623,vivo Y100 5G,Twilight Gold,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,23999,8.0,128.0,4500.0,64.0,16.0,16.21
624,SAMSUNG Galaxy A23,Blue,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),17499,6.0,128.0,5000.0,50.0,8.0,16.76
626,realme Narzo 50i Prime,Mint Green,64,4,5000,8MP,5MP,0,16.51,Unisoc T612 processor,8460,4.0,64.0,5000.0,8.0,5.0,16.51
627,SAMSUNG Galaxy A04,Copper,128,4,5000,50MP,5MP,0,16.51,Mediatek Helio P35,12999,4.0,128.0,5000.0,50.0,5.0,16.51
628,OPPO F21s Pro,Starlight Black,128,8,4500,64MP,16MP,0,16.33,Qualcomm SM6225 Snapdragon 680 4G (6 nm),20890,8.0,128.0,4500.0,64.0,16.0,16.33
631,APPLE iPhone 12,Blue,64,8,2815,12MP,12MP,0,15.49,ios,53999,8.0,64.0,2815.0,12.0,12.0,15.49
632,SAMSUNG Galaxy A13,Peach,128,6,5000,50MP,8MP,0,16.76,Exynos Octa Core,16499,6.0,128.0,5000.0,50.0,8.0,16.76
633,Nokia G11 Plus,Grey,64,4,5000,50MP,8MP,0,16.55,Octa Core,9790,4.0,64.0,5000.0,50.0,8.0,16.55
636,SAMSUNG Galaxy A04e,Light Blue,64,3,5000,13MP,5MP,0,16.51,Mediatek Helio P35,9999,3.0,64.0,5000.0,13.0,5.0,16.51
637,SAMSUNG Galaxy S23 5G,Cream,256,8,3900,50MP,12MP,0,15.49,Qualcomm Snapdragon 8 Gen 2,79999,8.0,256.0,3900.0,50.0,12.0,15.49
638,LAVA Z21,Cyan,32,2,3100,5MP,2MP,0,12.7,Octa Core,5998,2.0,32.0,3100.0,5.0,2.0,12.7
639,Tecno Spark 8T,Turquoise Cyan,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,9990,4.0,64.0,5000.0,50.0,8.0,16.76
641,SAMSUNG Galaxy A54 5G,Awesome Lime,128,8,5000,50MP,32MP,0,16.26,"Exynos 1380, Octa Core ",38999,8.0,128.0,5000.0,50.0,32.0,16.26
642,OPPO A77,Sky Blue,128,4,5000,50MP,8MP,0,16.66,Mediatek Helio G35,15999,4.0,128.0,5000.0,50.0,8.0,16.66
